Tahun,BPP_Rp,Produksi_ton,Harga_Nikel,MC
2014,8996612600000,81177000,127648400,110827
2015,7315239400000,77581000,98366800,94291
2016,8345252000000,76807000,108620400,108652
2017,9555165800000,74806000,145862400,127732
2018,9850216000000,71025000,196511700,138686
2019,9231142000000,72237000,201144200,127789
2020,11109469800000,65388000,260717600,169900
2021,12858377250000,60090000,370685700,213985
2022,13721220000000,70728000,252293500,193999
2023,13221942800000,71311000,237823600,185412
2024,14500000000000,72000000,280000000,195000
